Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,volatility,max_dd,n_obs
3,3,0.1863,0.7665,0.4434,0.1376,4.6907,69.0135,375.0
3,6,0.4866,2.371,0.0177,0.4196,4.0176,42.0554,376.0
3,9,0.5109,2.6544,0.0079,0.5065,3.4943,32.3681,377.0
3,12,0.5034,3.1434,0.0017,0.6083,2.8664,24.0964,377.0
6,3,0.5187,1.8045,0.0711,0.3123,5.7541,61.3603,372.0
6,6,0.7904,2.8386,0.0045,0.5218,5.2473,31.6539,375.0
6,9,0.6765,2.6691,0.0076,0.5129,4.5696,30.4682,377.0
6,12,0.5473,2.6151,0.0089,0.4818,3.9344,30.5759,377.0
9,3,0.7539,2.2615,0.0237,0.421,6.2029,50.4536,369.0
9,6,0.9093,2.9408,0.0033,0.5653,5.5717,38.0049,372.0
9,9,0.771,2.9626,0.0031,0.5556,4.8068,37.8383,376.0
9,12,0.5835,2.5375,0.0112,0.4646,4.3507,37.9337,377.0
12,3,0.5971,1.7411,0.0817,0.331,6.2485,53.1598,366.0
12,6,0.7367,2.3855,0.0171,0.4518,5.6483,44.0271,369.0
12,9,0.6369,2.3346,0.0196,0.4427,4.984,43.1645,373.0
12,12,0.5174,2.0723,0.0382,0.4035,4.442,43.5096,376.0
