Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,volatility,max_dd,n_obs
3,3,0.1458,0.5331,0.594,0.1039,4.8637,74.7104,375.0
3,6,0.3494,1.6792,0.0931,0.2867,4.2219,45.8143,376.0
3,9,0.3374,2.2325,0.0256,0.3247,3.5987,33.5763,377.0
3,12,0.3537,2.9328,0.0034,0.3911,3.1332,26.3869,377.0
6,3,0.4665,1.5431,0.1228,0.2728,5.9233,67.095,372.0
6,6,0.611,2.5203,0.0117,0.3891,5.4392,31.1177,375.0
6,9,0.4726,2.3387,0.0194,0.3447,4.7495,30.7801,377.0
6,12,0.3583,2.2081,0.0272,0.297,4.1795,31.5479,377.0
9,3,0.7025,2.0547,0.0399,0.3833,6.3493,55.7627,369.0
9,6,0.7256,2.5765,0.01,0.4349,5.7797,38.0887,372.0
9,9,0.5269,2.4929,0.0127,0.3659,4.9893,38.3992,376.0
9,12,0.3414,1.9844,0.0472,0.2618,4.5179,39.1164,377.0
12,3,0.6106,1.7474,0.0806,0.3314,6.3828,56.2198,366.0
12,6,0.5861,1.9995,0.0456,0.3479,5.8359,43.8864,369.0
12,9,0.3752,1.6713,0.0947,0.2547,5.1024,43.9321,373.0
12,12,0.2936,1.5206,0.1284,0.2242,4.5353,43.9703,376.0
