J,K,Optimal (Sharpe),Sharpe at Optimal,Return at Optimal,Optimal (Return),Max Return,Traditional (10)
3,3,36,0.343,0.66%,36,0.66%,0.043
6,3,26,0.360,0.77%,32,0.79%,0.242
6,6,28,0.461,0.92%,34,0.94%,0.386
6,9,28,0.421,0.73%,36,0.75%,0.333
9,3,34,0.462,1.18%,36,1.20%,0.347
9,6,36,0.472,1.06%,36,1.06%,0.414
12,3,20,0.430,0.94%,34,1.06%,0.281
12,12,22,0.308,0.49%,22,0.49%,0.216
