Strategy,Avg Monthly Return,Sharpe Ratio,t-statistic,Cost Impact
Original (No Costs),0.6426255698511516,0.3092208213675786,1.6332873671356538,0.0
Original (With Costs),0.3635085500635994,0.1745451772042976,0.9235870965488149,-0.27911701978755216
Market State (No Costs),1.234332911733463,0.622519196418341,3.288592389510349,0.0
Market State (With Costs),1.0424359861385009,0.5239320103197851,2.768111704345018,-0.19189692559496205
