Strategy,Avg Monthly Return,Sharpe Ratio,t-statistic,Cost Impact
Original (No Costs),0.9275722371849182,0.48626638888686674,4.445719936114519,0.0
Original (With Costs),-0.38658463235939694,-0.21899652415864845,-1.9668167336921876,-1.314156869544315
Market State (No Costs),1.3574818635603487,0.7554005259086743,6.8953464862883544,0.0
Market State (With Costs),0.013521614184976667,0.007889745381769363,0.07015472823426372,-1.343960249375372
