Liquidity,Market Cap,Avg Return (%),t-statistic,Sharpe Ratio,Volatility (%)
1.0,0.45,0.958504350194667,2.014935547644229,0.38308228160855734,8.667475962823907
1.0,0.75,0.9433927188315445,2.159824410652358,0.4126721838276465,7.919138650688513
0.8,0.45,1.2983063250389832,2.7868703902843666,0.5193794961357696,8.659304171559814
0.8,0.75,1.1075831002003294,2.618408581231706,0.5020254101920443,7.642602004618699
0.6,0.45,1.3049802344920682,2.7841933144136695,0.5325438351304141,8.488661101334086
0.6,0.75,1.0352816790744492,2.8662608450856206,0.5331203467565766,6.727038197703313
0.4,0.45,,,,
0.4,0.75,0.8406939915220993,2.541251665968628,0.47009134614475784,6.195071314866377
