Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,max_dd,volatility,n_obs
3,3,0.8138,6.4903,0.0,0.5594,-53.6792,5.0399,1020.0
3,6,0.7738,6.7027,0.0,0.6074,-52.3395,4.4126,1020.0
3,9,0.7505,8.4722,0.0,0.6925,-39.1655,3.7543,1020.0
3,12,0.6107,8.1548,0.0,0.6435,-37.506,3.2873,1020.0
6,3,1.1123,6.9219,0.0,0.6156,-63.6413,6.2593,1020.0
6,6,1.0521,7.1645,0.0,0.6593,-52.8778,5.5277,1020.0
6,9,0.9113,7.3554,0.0,0.6575,-53.0747,4.8015,1020.0
6,12,0.6808,6.2917,0.0,0.5353,-54.6627,4.406,1020.0
9,3,1.2918,7.2326,0.0,0.6888,-59.5885,6.4967,1020.0
9,6,1.1033,6.6849,0.0,0.6529,-61.2853,5.8544,1020.0
9,9,0.879,6.1134,0.0,0.5676,-61.2112,5.3647,1020.0
9,12,0.6175,4.7146,0.0,0.4297,-63.6888,4.9783,1020.0
12,3,1.1829,6.1834,0.0,0.6222,-65.4752,6.5863,1020.0
12,6,0.9495,5.3243,0.0,0.5331,-64.6437,6.1702,1020.0
12,9,0.7134,4.4005,0.0,0.4279,-68.7703,5.7758,1020.0
12,12,0.4976,3.26,0.0011,0.32,-77.0677,5.3876,1020.0
